Dátum od,Dátum do,Akcia,Činnosť,Zložka,Zvýrazniť,Komentár,Fotka
01-14,,Prvá STOP-ka s Trnávkou v roku 2023,,oratko,,STOPka sa koná každý mesiac a je to ponuka pre animátorov zastaviť a zamyslieť sa. Okrem modlitby je súčasťou Stopky s Trnávkou aj diskusia v dvojiciach na zaujímavé otázky.,
01-21,,Farský ples,nás roztancoval,farnosť,áno,"PLES BOL AKO SA PATRÍ 🙌
Už sa nevieme dočkať na ďalší ročník ♥️",farsky-ples.jpg
01-29,,Premiéra divadla k sviatku don Bosca,nám pripomenula jeho hodnoty,oratko,,Stať sa svätým? Je to možné? Áno! Je to dokonca ľahké a nutné 😇. Repríza divadla už zajtra o 14:00 a 16:00 hod.,divadlo.jpg
02-02,,Prvá diskusia Té--my v roku 2023,vytvorila priestor na diskusiu na rozličné zaujímavé a aktuálne témy od,oratko,,"2. február: Té--my: Ako vidieť svet?
16. marec: Té--my: Umelá inteligencia
11. október: Té--my: Občan a politika
19. december: Té--my: Svedomie a morálka ako nástroj zmeny",
02-03,,Prvé Megastretko v roku 2023,spojilo deti zo všetkých stretiek,oratko,,"Prvý piatok v mesiaci patrí “megastretku”, čiže jednému veľkému stretku pre detí zo všetkých stretiek pre základoškolákov.",
02-06,,Duchovná obnova manželov,,farnosť,,,
02-07,,Karneval pre deti,potešil deti a rodinky,mc,,,
03-08,,Titusday,sa konal každý mesiac ôsmeho: 6:30 omša a 7:00 raňajky. Konal sa aj,oratko,,,
03-17,,Floorbalový turnaj v Košiciach,absolvovali chalani zo stretiek,oratko,,,
03-17,,Stretko M.A.Kov v roku 2023,od,oratko,,"M.A.K. je skratka pre ""mladá animátorská krv"", čo sú mladí pred birmovkou, ktorí sa chcú stať animátormi.",
03-24,,Kurz SŠA,absolvovali noví animátori,oratko,,"SŠA je skratka pre ""Stredisková škola animácie"" a je poslednou formačnou prípravou pre mladých pred tým ako sa stanú animátormi.",
04-04,06-06,Jarná futbalová akadémia,umožnila deťom zlepšiť ich futbalové aj ľudské schopnosti,domino,,,
04-15,,Deň mužov,"bol príležitosť pre mužov posedieť, porozprávať a zoznámiť sa",farnosť,,,
04-21,04-28,Farská púť do Svätej zeme,,farnosť,,,
04-23,,Materské centrum Margarétka oslávilo narodeniny,,mc,,,
04-28,,Prvá prespávačka v Oratku v roku 2023,umožnila stretku zažiť spoločný čas,oratko,,"Prespávačky stretiek dávajú nové zážitky. V roku 2023 ich zažili tieto stretká:

28. apríl: Bez servítky
5. máj: Maxi Bueonos
5. jún: miništranti
20. október: M.A.K.y
1. december: Hypnotizujúce Sovičky
2. december: birmovanci",
05-05,05-08,Púť po stopách don Bosca v Turína,"si spravili animátori, ktorí úspešne ukončili animátorskú prípravu, ",oratko,,,turin.jpg
05-14,,Deň rodiny a deň matiek,sme oslávili vo farskej záhrade a v sále pod kostolom,mc,,,
06-01,,Deň detí,sme oslávili vo farskej záhrade a v sále pod kostolom,mc,,,
06-03,,Birmovka,bola vyslúžená otcom biskupom Haľkom,farnosť,,,birmovka.jpg
06-04,,Deň farnosti,nám umožnil sa spolu stretnúť,farnosť,áno,,den-farnosti.jpg
06-17,,Farská púť,nás zaviedla do Banskej Štiavnice a Hronského Beňadiku,farnosť,,,
07-05,,"Prvé ""Mama leto"" v roku 2023",spríjemnilo dopoludnie deťom a mamám,mc,,"Deti a maminy z Materského centra sa počas leta presunuli do farskej záhrady. Každú stredu sme sa stretli, aby sme si spríjemnili horúce dopoludnie rôznymi aktivitkami ako napríklad hľadanie zamrznutých hračiek v ľade, tvorenie z hliny, kreslenie, tancovanie alebo aj robenie veľkých bublín. Každý týždeň sa s nami zabavilo asi 30 detí a ich mamín.",
07-08,07-15,Letný tábor v Tesároch,absolvovalo 120 detí a mladých,oratko,áno,,letny-tabor.jpg
07-08,08-25,Prímestské tábory,v dvoch turnusoch absolvovalo 100 detí,oratko,áno,,primestsky-tabor.jpg
07-10,08-18,Letné futbalové kempy,v štyroch turnusoch absolvovalo 431 detí od 5 do 13 rokov,domino,áno,,futbalovy-kemp.jpg
07-16,09-01,Letné futbalové sústredenia,absolvovalo 420 hráčov a 47 trénerov,domino,áno,,futbalove-sustredenie.jpg
07-17,07-23,Putovný tábor po celom Slovensku,", na ktorom sa zúčastnilo 60 mladých, sa konal",oratko,,,
07-24,07-28,Rómsky tábor v Lomničke,,oratko,,,
07-26,08-15,Skautský tábor v Jabloňovciach,", na ktorom sa zúčastnilo 95 detí a mladých, sa konal",skauti,,,
07-31,08-06,Svetové dni mládeže v Lisabone,zažili aj mladí z nášho Oratka,oratko,,,
08-30,09-03,Duchovné cvičenia animátorov,,oratko,,"Raz za rok organizujeme duchovné cvičenia pre všetkých stretkárov a mladých, aby dostali čas na zastavenie a reflexiu nad sebou samým.",
08-30,09-03,Duchovné cvičenia vysokoškolákov a mladších pracujúcich,,oratko,,,
09-08,,Rozlúčka so Stanom Hurbaničom,", ktorý viedol Oratko a odišiel pôsobiť na Miletičku, prebehla",oratko,,,
09-14,09-17,Duchovné cvičenia žien,,farnosť,,,
09-19,,Otvorenie materského centra Margarétka,odštartovalo novú sezónu v Margarétke,mc,,,
09-21,,Opekačka pre birmovancov,,oratko,,,
09-23,,Otvorenie diela,odštartovalo novú sezónu v našom Diele,,áno,,otvorenie-diela.jpg
