Dátum 1,Dátum 2,Vzťah dátumov (default=od-do),Akcia,Činnosť,Zložka,Zvýrazniť,Komentár,Fotka,Text linky,Linka,CTA
07-30,,,Nová budova futbalového klubu,bola dostavaná po 7 mesiacoch a 7 dňoch,domino,áno,"👷🎉👷🎉👷🎉

Nová budova priniesla nové šatne pre hráčov a trénerov, posilňovňu, sociálne zariadenia a spoločné priestory. Je to veľký krok pre náš futbalový klub Domino, v ktorom v roku 2024 trénovalo vyše 550 detí. Ďakujeme všetkým, ktorí prispeli finančne, svojim časom, prácou a modlitbou, aby sa toto dielo podarilo.",domino-nova-budova.jpg,Prispieť na splátku úveru,https://trnavka.sk/dajnato/nove-satne-a-zazemie-futbaloveho-klubu/,
06-01,06-22,,Výzva Antona Zajaca,nám priniesla 560 tisíc eur na novú budovu,domino,,280 tisíc eur sme vyzbierali a Anton Zajac doložil ďalších 280 tisíc. Ďakujeme!,,,,
05-05,,,Futbal pre všetkých,"umožnil každú májovú a septembrovú nedeľu zúčastniť sa na tréningu deťom, ktoré sa nedostali do nášho futbalového klubu",domino,,Spolu v máji a septembri zažilo futbalový tréning 325 detí.,,,,
07-01,08-23,,Letné futbalové kempy,,domino,,"Letné futbalové kempy v štyroch turnusoch absolvovalo 320 detí od 5 do 13 rokov. Hrami, futbalovými tréningami, scénkami a inými aktivitami deti  rozvíjali nielen svoje futbalové schopnosti, ale aj svoju osobnostnú stránku, či tímového ducha. Vlastnosti, ktoré sú dôležité nielen v športe, ale aj v osobnom živote.

Deťom sa venovalo 28 trénerov, 38 asistentov a 36 animátoriek.",domino-kempy.jpg,,,
01-01,12-31,,Celoročný tréningov pre dospelých,pod vedením trénerky Peti Jakubcovej,domino,,"Cvičiť chodili hlavne rodičia detí na Domine, ale cvičenia boli otvorené aj pre ostatných. Odmakali 341 tréningov. Cvičí sa v posilňovni na Domine. Aj toto je jedno z ovocí novej budovy futbalového klubu Domino.",domino-cvicenia.jpg,,,Kto sa k nim pridá tento rok? 💪
06-22,,,1. ročník Memoriálu Jozefa Kabinu,"priviedol bývalých hráčov nášho futbalového klubu Domino, ktorí si spoločne zahrali a zaspomínali",domino,,"Jožko Kabina prišiel v roku 1996 na Trnávku ako mladý salezián, študoval dejepis na pedagogickej fakulte a popri tom rozbiehal futbalový klub SDM Domino. Klub viedol naplno ako predseda, tréner, hospodár a tajomník, pričom sa staral o všetky detaily a s láskou podporoval svojich zverencov. Po kňazskej vysviacke v roku 2004 sa na Trnávku vrátil, kde dokončil šatne a vybudoval malú umelú trávu. Aj po odchode z Trnávky zostal srdcom spojený s futbalistami SDM Domina, ktorí teraz strieľajú góly aj pre neho v nebi.",domino-memorial.jpg,Ďalšie fotky z Memoriálu,https://www.facebook.com/sdmdomino/posts/pfbid021YCT3UfiNm8YLKoRKawp6vzQNr6m9ZShTF121SjXB7ZDZ4ENw2fs3eVtGvwUdBZpl,
09-10,,,Intenzívne tréningy xGoal,"pre 20 detí od 8 do 13 rokov, ktoré chcú svoje futbalové schopnosti posunúť na vyššiu úroveň, začali 10. septembra",domino,,,,,,
03-23,,,STOP-ky s Trnávkou,,oratko,,"STOPka sa koná cca raz za mesiac a je to ponuka pre animátorov zastaviť a zamyslieť sa. Okrem modlitby je súčasťou STOPky aj diskusia v dvojiciach na zaujímavé otázky.

V roku 2024 sa STOPka konala: 20. 1., 2. 3., 23. 3., 13. 4., 18. 5., 15. 6., 14. 9., 19. 10. a 21. 12. Účasť bola v priemere 12 ľudí na jednej STOPke.",,,,
06-21,,,Megastretká,spojilo deti zo všetkých stretiek,oratko,,"Prvý piatok v mesiaci patrí “megastretku”, čiže jednému veľkému stretku pre detí zo všetkých stretiek pre základoškolákov.

V roku 2024 sa Megastretko konalo 9. 2., 21. 6. a 15. 11. Účasť bola v priemere 80 ľudí na jednom Megastretku.",,,,
02-23,02-25,,Chata Otec & syn,umožnila chlapcom zažiť spoločný čas s otcami a s kamarátmi zo stretiek,oratko,,"Naši stretkári majú každý rok príležitosť prehĺbiť svoj vzťah z otcom a zažiť nezabudnuteľné dobrodružstvo. A to práve na chate Otec & syn. Deti so svojími animátormi mali perfektý program so zábavným a duchovným podtónom. Ďakujeme všetkým otcom a animátorom za ochotu vyhradený čas pre spoločenstvo.

Chaty sa zúčastnilo 65 ľudí.",oratko-otec-a-syn.jpg,Ďalšie fotky z chaty,https://www.flickr.com/photos/trnavka/albums/72177720315115978/,
